village,district,subdistric,state_name,latitude,longitude
Pedda Thandrapadu,Jogulamba Gadwal,Waddepally,Telangana,15.93185623624039,77.76595410505483
Pacharla,Jogulamba Gadwal,Waddepally,Telangana,15.931388461078132,77.73172429365037
Maddur,Jogulamba Gadwal,Manopad,Telangana,15.918397778471887,77.88292538103526
Kesavapuram,Jogulamba Gadwal,Ieeja,Telangana,15.929311802467454,77.621226906972
Mandoddi,Jogulamba Gadwal,Waddepally,Telangana,15.923910893021757,77.70353628600314
Pullareddikunta,Wanaparthy,Kothakota,Telangana,16.306070436580278,77.90388639967898
Mundladinne,Jogulamba Gadwal,Waddepally,Telangana,15.924919905398221,77.78542399869305
Budamarsu,Jogulamba Gadwal,Waddepally,Telangana,15.918466246873246,77.85937304472897
Rajoli,Jogulamba Gadwal,Waddepally,Telangana,15.90413841039201,77.8133356149873
Nasnur,Jogulamba Gadwal,Waddepally,Telangana,15.917157425520536,77.68893648771227
Venisampur,Jogulamba Gadwal,Ieeja,Telangana,15.914913776029632,77.6390192198428
Peddadhanwada,Jogulamba Gadwal,Waddepally,Telangana,15.90338370976958,77.6654319879749
Thummilla,Jogulamba Gadwal,Waddepally,Telangana,15.901594141827806,77.7480313446115
Padamatigarlapadu,Jogulamba Gadwal,Waddepally,Telangana,15.891666276664157,77.77834053037436
Chinnadhanwada,Jogulamba Gadwal,Waddepally,Telangana,15.895848438859856,77.69661331871268
Thurpu Garlapadu,Jogulamba Gadwal,Waddepally,Telangana,15.893266731504497,77.84814109252044
Bukkapur,Jogulamba Gadwal,Alampur,Telangana,15.928366911653562,78.12913962517419
Gundimalla,Jogulamba Gadwal,Alampur,Telangana,15.92726977589457,78.170186221765
Linganavai,Jogulamba Gadwal,Alampur,Telangana,15.930087350844158,78.07420150542124
Mennipadu,Jogulamba Gadwal,Manopad,Telangana,15.895138875590689,77.94082017824616
Korvipadu,Jogulamba Gadwal,Manopad,Telangana,15.912797017954466,77.920846753276
Bonkur,Jogulamba Gadwal,Manopad,Telangana,15.922997498815848,77.95071700975075
Kalgotla,Jogulamba Gadwal,Manopad,Telangana,15.904558164131592,77.96679372012
Pullur,Jogulamba Gadwal,Manopad,Telangana,15.899598876818366,78.00283224576964
Alampur,Jogulamba Gadwal,Alampur,Telangana,15.887520545045579,78.10123942482596
Bairampalle,Jogulamba Gadwal,Alampur,Telangana,15.903197458455798,78.1592566689687
Bhairapur,Jogulamba Gadwal,Alampur,Telangana,15.896231613188954,78.05348308025447
Imampur,Jogulamba Gadwal,Alampur,Telangana,15.900115969985068,78.09127666606514
Jillellapadu,Jogulamba Gadwal,Alampur,Telangana,15.887594640418758,78.17241224111099
Sultanpur,Jogulamba Gadwal,Alampur,Telangana,15.872819672838125,78.16141143452352
Baswapur,Jogulamba Gadwal,Alampur,Telangana,15.877951738439256,78.0545895536686
Uppalapadu,Jogulamba Gadwal,Alampur,Telangana,15.930084104749165,78.20531023476457
Ryalampadu,Jogulamba Gadwal,Alampur,Telangana,15.861304281826282,78.14193273498071
Kasipur,Jogulamba Gadwal,Alampur,Telangana,15.859137799515477,78.09085199742813
Singavaram,Jogulamba Gadwal,Alampur,Telangana,15.8516061221339,78.1186794928852
Chagatur,Jogulamba Gadwal,Alampur,Telangana,15.934858297965325,78.2390891834792
Aloor Iii,Ranga Reddy,Chevella,Telangana,17.311827060741162,78.06771855864008
D Burdipadu,Jogulamba Gadwal,Manopad,Telangana,15.918158135786285,78.0423883955632
Pudur,Jogulamba Gadwal,Gadwal,Telangana,16.152765181919836,77.82278174968289
Kuchinerla,Jogulamba Gadwal,Ghattu,Telangana,16.17220634291831,77.5308099635872
Adaviravalcheruvu,Jogulamba Gadwal,Maldakal,Telangana,16.154848697319828,77.6955515956945
Anantapur,Jogulamba Gadwal,Gadwal,Telangana,16.165623817317712,77.8695883409202
Maddelabanda,Jogulamba Gadwal,Maldakal,Telangana,16.14513971882861,77.65088348177866
Palwai,Jogulamba Gadwal,Maldakal,Telangana,16.148834337316018,77.77067970510443
Rayapuram,Jogulamba Gadwal,Ghattu,Telangana,16.15194670984808,77.56455329677009
Shapur Maqta,Vikarabad,Basheerabad,Telangana,17.235781466888973,77.49899157053483
Penchikapadu,Jogulamba Gadwal,Ghattu,Telangana,16.151532342941692,77.61303702261053
Burdipad,Jogulamba Gadwal,Maldakal,Telangana,16.16189443744749,77.74595327847696
Nethivanipalle,Jogulamba Gadwal,Maldakal,Telangana,16.15637188474481,77.6788226901366
Saddalonipalle,Jogulamba Gadwal,Maldakal,Telangana,16.14931646106962,77.71353864061543
D Amaravai,Jogulamba Gadwal,Maldakal,Telangana,16.14623087564431,77.73356512456071
Chintalkunta,Jogulamba Gadwal,Ghattu,Telangana,16.136302886125325,77.5069851888297
Kondair,Jogulamba Gadwal,Itikyala,Telangana,16.131488519002833,77.87923289054676
Maldakal,Jogulamba Gadwal,Maldakal,Telangana,16.119200389280827,77.68761447570895
Ghattu,Jogulamba Gadwal,Ghattu,Telangana,16.126861523105774,77.57604073218792
Mogilravalcheruvu,Jogulamba Gadwal,Itikyala,Telangana,16.131508486814024,77.84877866978476
Gopaldinne,Jogulamba Gadwal,Itikyala,Telangana,16.119811428927267,77.8243788921376
Yeddulagudem,Jogulamba Gadwal,Maldakal,Telangana,16.123225672631953,77.71686145356986
Aragidda,Jogulamba Gadwal,Ghattu,Telangana,16.118035560263383,77.61770855447732
Yellamdoddi,Jogulamba Gadwal,Ghattu,Telangana,16.11533564991317,77.54437378192927
Bhagvanpalle,Narayanpet,Makthal,Telangana,16.397452097315114,77.5892847908611
Chelagarlapadu,Jogulamba Gadwal,Maldakal,Telangana,16.099882913164226,77.72534584366893
Yelkur,Jogulamba Gadwal,Maldakal,Telangana,16.105175328069326,77.75934161346915
Peddadinne,Jogulamba Gadwal,Itikyala,Telangana,16.09612070466555,77.82993806063249
Munagala,Jogulamba Gadwal,Itikyala,Telangana,16.097755836263563,77.87719044707192
Mangampeta,Jogulamba Gadwal,Manopad,Telangana,16.07386784406357,77.98555666278627
Itikyal,Jogulamba Gadwal,Itikyala,Telangana,16.08690803817073,77.85457461743992
Thatikunta,Jogulamba Gadwal,Maldakal,Telangana,16.090899207398625,77.65332838686918
Macherla,Jogulamba Gadwal,Ghattu,Telangana,16.092038662854378,77.55197546482422
Thappetlamorsu,Jogulamba Gadwal,Ghattu,Telangana,16.087619970358475,77.61613330917984
Yapaladevipadu,Jogulamba Gadwal,Alampur,Telangana,15.993398166817553,78.12753886415652
Gorlakhandoddi,Jogulamba Gadwal,Ghattu,Telangana,16.08993314782412,77.59053525346599
Syasampalle,Jogulamba Gadwal,Maldakal,Telangana,16.09586200504333,77.68629504388396
Kurthiravalcheruvu,Jogulamba Gadwal,Maldakal,Telangana,16.084768624367822,77.69841292766945
Udandapur,Jogulamba Gadwal,Itikyala,Telangana,16.068840857092248,77.80593273090024
Mallemdoddi,Jogulamba Gadwal,Maldakal,Telangana,16.072968628936128,77.7664851581633
Balgera,Jogulamba Gadwal,Ghattu,Telangana,16.072847830268994,77.54112527410682
Bingidoddi,Jogulamba Gadwal,Ieeja,Telangana,16.059762833644367,77.66862475330444
Nagardoddi,Jogulamba Gadwal,Maldakal,Telangana,16.061966219248195,77.69984274900996
Devabanda,Jogulamba Gadwal,Ieeja,Telangana,16.062374247159045,77.64147238188349
Saterla,Jogulamba Gadwal,Itikyala,Telangana,16.045902389351323,77.77588309475713
Chamankhandoddi,Jogulamba Gadwal,Ghattu,Telangana,16.059202787501647,77.51654989294181
Shabad,Jogulamba Gadwal,Itikyala,Telangana,16.042662034017482,77.81532354197665
Mittadoddi,Jogulamba Gadwal,Ghattu,Telangana,16.050708748316666,77.59990850974029
Mallampalle,Jogulamba Gadwal,Ghattu,Telangana,16.060146837524538,77.55613183302935
Batladinne,Jogulamba Gadwal,Itikyala,Telangana,16.043995482014935,77.87890036163498
Chagapur,Jogulamba Gadwal,Itikyala,Telangana,16.036375599688387,77.84654032220496
Vittalapuram,Jogulamba Gadwal,Maldakal,Telangana,16.04016556110372,77.73719578243396
Eklaspur,Jogulamba Gadwal,Ieeja,Telangana,16.052476385358727,77.63006167449804
Chagadona,Jogulamba Gadwal,Ghattu,Telangana,16.030951878691173,77.57556305693632
Gajarandoddi,Narayanpet,Maganoor,Telangana,16.40590916910243,77.51219864445383
Induvasi,Jogulamba Gadwal,Ghattu,Telangana,16.032270274731445,77.52449278766983
Thoomkunta,Jogulamba Gadwal,Ieeja,Telangana,16.0341390789538,77.71270645896399
Ieej,Jogulamba Gadwal,Ieeja,Telangana,16.00808381384098,77.67272736595119
Uthanur,Jogulamba Gadwal,Ieeja,Telangana,16.007417131698265,77.62523530281973
Vavilala,Jogulamba Gadwal,Itikyala,Telangana,16.025879055359287,77.77464852676623
Boyalagudem,Jogulamba Gadwal,Ghattu,Telangana,16.002396715175177,77.54346390343214
Ramapuram,Jogulamba Gadwal,Waddepally,Telangana,16.001277901921362,77.84054665928471
Narsimhapuram,Nagarkurnool,Kollapur,Telangana,16.12987856810445,78.27789022832324
Jadadoddi,Jogulamba Gadwal,Ieeja,Telangana,16.004732085721024,77.7228219604988
Yapadinne,Jogulamba Gadwal,Ieeja,Telangana,15.999195217666927,77.75919900376113
Medikonda,Jogulamba Gadwal,Ieeja,Telangana,15.969893155331985,77.60491756320293
Julekal,Jogulamba Gadwal,Waddepally,Telangana,15.981142061240659,77.79582020561031
Thothinonidoddi,Jogulamba Gadwal,Ieeja,Telangana,15.98215995627975,77.55119694919382
Koildinne,Jogulamba Gadwal,Waddepally,Telangana,15.982063743354939,77.87620249006416
Venkatapur,Jogulamba Gadwal,Ieeja,Telangana,15.977123344102525,77.73320434344834
Uppal,Jogulamba Gadwal,Ieeja,Telangana,15.963380876120745,77.68710812949335
Jilledudinne,Jogulamba Gadwal,Waddepally,Telangana,15.974564573655282,77.8434700039316
Tanagala,Jogulamba Gadwal,Waddepally,Telangana,15.958594682210506,77.74333757345792
Sindhanoor,Jogulamba Gadwal,Ieeja,Telangana,15.962865604712178,77.54083276622178
Paipad,Jogulamba Gadwal,Waddepally,Telangana,15.955997315512809,77.86767789538052
Pullikal,Jogulamba Gadwal,Ieeja,Telangana,15.93641427805909,77.57259942813806
Chukkaipalle,Nagarkurnool,Kollapur,Telangana,16.125895632451513,78.31767877725292
Waddepally,Jogulamba Gadwal,Waddepally,Telangana,15.944455924044323,77.8361263897544
Chinna Tandrapadu,Jogulamba Gadwal,Ieeja,Telangana,15.942201663286573,77.65600416199501
Konkala,Jogulamba Gadwal,Waddepally,Telangana,15.94985392110504,77.79589428420068
Kudakanoor,Jogulamba Gadwal,Ieeja,Telangana,15.938827210194416,77.5298974226453
Apkondanhalli,Jogulamba Gadwal,Ghattu,Telangana,16.115004286792313,77.51689639592907
Muslimpalle,Jogulamba Gadwal,Ghattu,Telangana,16.089467364063285,77.50808046434283
B Timmapur,Jogulamba Gadwal,Ieeja,Telangana,16.04069625926384,77.63614538102605
Chityal,Narayanpet,Makthal,Telangana,16.40402231471926,77.54432737188033
Punjanur,Narayanpet,Maganoor,Telangana,16.39616550974871,77.46276737986737
Kolpur,Narayanpet,Maganoor,Telangana,16.399246945184213,77.48482882771441
Chinnagopalapur,Narayanpet,Makthal,Telangana,16.39607424823314,77.57204387145627
Amarchinta,Wanaparthy,Atmakur,Telangana,16.377076755823147,77.77601870065463
Pamireddipalle,Wanaparthy,Atmakur,Telangana,16.396811901808736,77.76246968541217
Dharmapur,Narayanpet,Narwa,Telangana,16.394144864959088,77.73566828581615
Singampeta,Wanaparthy,Atmakur,Telangana,16.341555985223362,77.77677433637308
Mandipalle,Narayanpet,Maganoor,Telangana,16.390761622407236,77.51296196278301
Mittanandimalla,Narayanpet,Narwa,Telangana,16.391065254290375,77.6874772351563
Mustipalle,Narayanpet,Makthal,Telangana,16.380905479328675,77.64665582880298
Chandraghad,Narayanpet,Narwa,Telangana,16.38739991597701,77.71169687364124
Nelividi,Wanaparthy,Kothakota,Telangana,16.394630286546562,77.87427393164837
Anugonda,Narayanpet,Makthal,Telangana,16.376165733369188,77.61216054252931
Karvena,Wanaparthy,Atmakur,Telangana,16.386540988611774,77.83375335826716
Chinthareddipalle,Narayanpet,Narwa,Telangana,16.37840823076523,77.66362385383806
Paspul,Narayanpet,Makthal,Telangana,16.377718606732696,77.53806039385094
Pinnamcherla,Wanaparthy,Atmakur,Telangana,16.37097410879776,77.80580833043557
Panchadevupad,Narayanpet,Makthal,Telangana,16.370862622472465,77.55465151071944
Pareval,Narayanpet,Makthal,Telangana,16.36328512784063,77.57315467834538
Thirumalaipalle,Wanaparthy,Kothakota,Telangana,16.36646412056424,77.88325330629378
Madanapur,Wanaparthy,Kothakota,Telangana,16.378251329096763,77.8684896237313
Mastipur,Wanaparthy,Atmakur,Telangana,16.36773352344831,77.7412782176364
Gopanpeta,Wanaparthy,Atmakur,Telangana,16.366995164546484,77.83778219157527
Erladinne,Narayanpet,Narwa,Telangana,16.365120458992735,77.67454421960221
Nandimalla,Wanaparthy,Atmakur,Telangana,16.35368071689076,77.716484936881
Kistampalle,Narayanpet,Narwa,Telangana,16.36060331091754,77.68915891151504
Ramanpadu,Wanaparthy,Kothakota,Telangana,16.355574646836562,77.86237232922281
Bandakunta,Medchal Malkajgiri,Medchal,Telangana,17.636758145600275,78.42235053226456
Balakistapur,Wanaparthy,Atmakur,Telangana,16.353386519092783,77.82823632943699
Musalaipalle,Narayanpet,Makthal,Telangana,16.356563806196103,77.59002865582038
Khanapur,Wanaparthy,Atmakur,Telangana,16.347508711246178,77.79034233799199
Upperu,Jogulamba Gadwal,Dharoor,Telangana,16.316083364186,77.66014674845711
Garlapadu,Jogulamba Gadwal,Dharoor,Telangana,16.340369521286338,77.62965953265262
Mulamalla,Wanaparthy,Atmakur,Telangana,16.33126834251993,77.75797618593631
Nagardoddi,Jogulamba Gadwal,Dharoor,Telangana,16.335236316477328,77.61125754955596
Medepalle,Wanaparthy,Atmakur,Telangana,16.321884702392733,77.83968612263652
Ajjakollu,Wanaparthy,Kothakota,Telangana,16.330907185728837,77.8688484250681
Jurial,Wanaparthy,Atmakur,Telangana,16.3065190022698,77.79780044262873
Chintharevula,Jogulamba Gadwal,Dharoor,Telangana,16.310079946107898,77.71772353931517
Nettempadu,Jogulamba Gadwal,Dharoor,Telangana,16.317474014769516,77.60480506234607
Somsagar,Wanaparthy,Atmakur,Telangana,16.32373188414433,77.8037530471048
Devarapalle,Wanaparthy,Atmakur,Telangana,16.30901381810816,77.86049072898254
Rekulapalle,Jogulamba Gadwal,Gadwal,Telangana,16.29592260312243,77.76379523098753
Guntipalle,Wanaparthy,Atmakur,Telangana,16.296413854616773,77.82002286042481
Thippadampalle,Wanaparthy,Atmakur,Telangana,16.285229448557843,77.88043831074361
Mirzapuram,Jogulamba Gadwal,Dharoor,Telangana,16.295942009389005,77.62234063255983
Kothapalle,Jogulamba Gadwal,Gadwal,Telangana,16.286246316047958,77.79365972699713
Motlampalle,Wanaparthy,Atmakur,Telangana,16.285498062232765,77.8382980294263
Rasoolpur,Vikarabad,Yelal,Telangana,17.228299501993707,77.59349441756055
Pagunta,Jogulamba Gadwal,Dharoor,Telangana,16.28946466958468,77.55891597051702
Eerlabanda,Jogulamba Gadwal,Dharoor,Telangana,16.275680386317774,77.57752421857685
Neelahalli,Jogulamba Gadwal,Dharoor,Telangana,16.27670614217651,77.61926925333003
Arepalle,Wanaparthy,Atmakur,Telangana,16.269085340410374,77.85746259126576
Musaldoddi,Jogulamba Gadwal,Dharoor,Telangana,16.280409969432295,77.5449645007908
Mannapur,Jogulamba Gadwal,Dharoor,Telangana,16.26801624367723,77.67896546361347
Atmakur,Jogulamba Gadwal,Gadwal,Telangana,16.266229772755988,77.75765381496194
Palcherla,Jogulamba Gadwal,Dharoor,Telangana,16.26751097376412,77.71319275112228
Puranapalem,Jogulamba Gadwal,Dharoor,Telangana,16.267647266589282,77.59898279671735
Dornala,Jogulamba Gadwal,Dharoor,Telangana,16.261635505942863,77.65234548840394
Gadwal R Part,Jogulamba Gadwal,Gadwal,Telangana,16.271347460978497,77.7964860774332
Erkiched,Jogulamba Gadwal,Dharoor,Telangana,16.259029230389018,77.52076313857614
Venkatapur,Jogulamba Gadwal,Dharoor,Telangana,16.266725576277228,77.55310818310684
Isarlapad,Jogulamba Gadwal,Ghattu,Telangana,16.206470227490684,77.53419438295256
Gadwal,Jogulamba Gadwal,Gadwal,Telangana,16.24635748316876,77.80671856995485
Kathepalle,Wanaparthy,Atmakur,Telangana,16.25514667729147,77.87733260322287
Yenkampeta,Jogulamba Gadwal,Gadwal,Telangana,16.250703443027955,77.83733936540014
Ganganapally,Jogulamba Gadwal,Dharoor,Telangana,16.253330201776784,77.59753649178005
Kondapur,Jogulamba Gadwal,Dharoor,Telangana,16.244776876309015,77.55791292080477
Alwalpad,Jogulamba Gadwal,Dharoor,Telangana,16.243465027005485,77.6235429172392
Gonpad,Jogulamba Gadwal,Gadwal,Telangana,16.243090317927884,77.74245287935585
Mulkalapalle,Jogulamba Gadwal,Gadwal,Telangana,16.233372435247375,77.85787218492005
Guvvaldinne,Jogulamba Gadwal,Dharoor,Telangana,16.23377999664497,77.51268129207642
Dharur,Jogulamba Gadwal,Dharoor,Telangana,16.2308877978578,77.68903858285591
Sangala,Jogulamba Gadwal,Gadwal,Telangana,16.230866150507158,77.76382293948129
Ummityal,Jogulamba Gadwal,Dharoor,Telangana,16.22731357089385,77.58716073863174
Kothulagidda,Jogulamba Gadwal,Dharoor,Telangana,16.223006964333692,77.62787764030686
Pastapur OG,Sangareddy,Zahirabad,Telangana,17.699337949610232,77.65430046742765
Kaloor Thimmandoddi,Jogulamba Gadwal,Ghattu,Telangana,16.209799445250926,77.55635319695703
Beerole,Jogulamba Gadwal,Gadwal,Telangana,16.204524664332947,77.8868051760519
Marlabeedu,Jogulamba Gadwal,Dharoor,Telangana,16.21615120420781,77.64931168524089
Jilladabanda,Jogulamba Gadwal,Gadwal,Telangana,16.214745547902318,77.73975819233931
Nagasanipalle,Wanaparthy,Pebbair,Telangana,16.14416964231,78.0469137998799
Jammiched,Jogulamba Gadwal,Gadwal,Telangana,16.21323074846116,77.83120112796308
Nandinne,Jogulamba Gadwal,Ghattu,Telangana,16.205515575528608,77.51383479865721
Paramala,Jogulamba Gadwal,Gadwal,Telangana,16.19890036261349,77.77241102898451
Bijjawaram,Jogulamba Gadwal,Maldakal,Telangana,16.192864259306493,77.70745804783448
Maredugu,Nagarkurnool,Amrabad,Telangana,16.34611782025298,79.04605594268779
Thummalacheruvu,Jogulamba Gadwal,Ghattu,Telangana,16.199727831391566,77.61067138965991
Mellacheruvu,Jogulamba Gadwal,Gadwal,Telangana,16.193028831230393,77.80643833303552
Ryalampad,Jogulamba Gadwal,Dharoor,Telangana,16.19191407462048,77.6558892369449
Kakulavaram,Jogulamba Gadwal,Gadwal,Telangana,16.180962200385984,77.74481113770891
Aloor,Jogulamba Gadwal,Ghattu,Telangana,16.180496601681988,77.60765604952522
Uligepalle,Jogulamba Gadwal,Maldakal,Telangana,16.1747680188896,77.69182711396788
Allipur,Mahabubnagar,Chinnachintakunta,Telangana,16.39684065636366,77.8128321098856
Kothapalle,Mahabubnagar,Chinnachintakunta,Telangana,16.384763078011545,77.85513385314003
Rangapur,Wanaparthy,Pebbair,Telangana,16.167956966116254,77.95791499028785
Govardhangiri,Wanaparthy,Weepangandla,Telangana,16.113795570646683,78.0608777018404
Bunyadpur,Wanaparthy,Pebbair,Telangana,16.16913718351498,77.99348387521378
Pulgarcherla,Wanaparthy,Pangal,Telangana,16.163772472336085,78.08653915369761
Kalvarala,Wanaparthy,Pangal,Telangana,16.153110120522612,78.12535007388232
Janampeta,Wanaparthy,Pebbair,Telangana,16.158443082104792,78.00852428528414
Thimmapur,Jogulamba Gadwal,Itikyala,Telangana,16.153622966683884,77.9154182608823
Sanginepalle,Wanaparthy,Weepangandla,Telangana,16.161408607256924,78.16458155176814
Bollaram,Wanaparthy,Pangal,Telangana,16.159706821596394,78.18959865507887
Vallabhapur,Wanaparthy,Pangal,Telangana,16.13316192162354,78.20420941622548
Venkatapur S,Wanaparthy,Pebbair,Telangana,16.156256153787353,78.02686880447865
Korlakunta,Wanaparthy,Pangal,Telangana,16.15422213958914,78.21752808711013
Irukulakunta,Mahabubabad,Kothaguda,Telangana,17.824661569058918,80.14780423635327
Janumpalle,Wanaparthy,Pebbair,Telangana,16.141846897779562,77.97186458004165
Gopaldinne,Wanaparthy,Pangal,Telangana,16.13489941858524,78.0811567078147
Toomkunta,Wanaparthy,Weepangandla,Telangana,16.122177813374055,78.17022972748448
Sugur,Wanaparthy,Pebbair,Telangana,16.13144307447692,77.99566495901077
Pathapalle,Wanaparthy,Pebbair,Telangana,16.133741301227584,78.02770623837182
Veepangandla,Wanaparthy,Weepangandla,Telangana,16.09842569728402,78.12973904382375
Sasnool,Jogulamba Gadwal,Itikyala,Telangana,16.11204028931208,77.92400240457211
Munagamanudinne,Wanaparthy,Pebbair,Telangana,16.123314972844888,77.95862808966938
Penchikalpadu,Wanaparthy,Pebbair,Telangana,16.112269784507383,77.97472465832219
Ramapur,Nagarkurnool,Kollapur,Telangana,16.05473499649615,78.26429998168548
Ayyavaripalle,Wanaparthy,Pebbair,Telangana,16.11781699399954,78.0336658615352
Velgonda,Wanaparthy,Weepangandla,Telangana,16.097510199473803,78.09177033573305
